Type                                 Module                      Label        Process      
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMediumIsolation"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMediumIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMediumIsolationMVA"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMediumIsolationMVA2"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMediumMuonRejection"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMediumMuonRejection2"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByRawChargedIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByRawCombinedIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByRawCombinedIsolationDBSumPtCorr3Hits"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByRawGammaIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightChargedIsolation"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightCombinedIsolationDBSumPtCorr3Hits"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightElectronRejection"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightIsolation"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightIsolationMVA"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightIsolationMVA2"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightMuonRejection"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightMuonRejection2"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByTightMuonRejection3"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByVLooseChargedIsolation"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByVLooseCombinedIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByVLooseIsolation"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByVLooseIsolationDBSumPtCorr"   ""           "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMVA2rawElectronRejection"   "category"   "PATTuple"   
reco::PFTauDiscriminator             "hpsPFTauDiscriminationByMVA3rawElectronRejection"   "category"   "PATTuple"   
vector<double>                       "ak5PFJets"                 "rhos"       "PATTuple"   
vector<double>                       "ak5PFJets"                 "sigmas"     "PATTuple"   
vector<pat::Electron>                "patElectrons"              ""           "PATTuple"   
vector<pat::Jet>                     "selectedPatJets"           ""           "PATTuple"   
vector<pat::MET>                     "patMETs"                   ""           "PATTuple"   
vector<pat::Muon>                    "patMuons"                  ""           "PATTuple"   
vector<pat::Tau>                     "patTaus"                   ""           "PATTuple"   
vector<reco::GenJet>                 "tauGenJets"                ""           "PATTuple"   
vector<reco::GenJet>                 "tauGenJetsSelectorAllHadrons"   ""           "PATTuple"   
vector<reco::PFJet>                  "ak5PFJets"                 ""           "PATTuple"   
vector<reco::PFMET>                  "pfType1CorrectedMet"       ""           "PATTuple"   
vector<reco::PFMET>                  "pfType1p2CorrectedMet"     ""           "PATTuple"   
vector<reco::PFTau>                  "hpsPFTauProducer"          ""           "PATTuple"   
vector<reco::PFTau>                  "hpsPFTauProducerSansRefs"   ""           "PATTuple"   
vector<reco::RecoTauPiZero>          "hpsPFTauProducer"          "pizeros"    "PATTuple"   
